sentence_id,source_id,juan_num,juan_label,paragraph_idx,sentence_idx,utterance_id,text_punctuated,text_plain,char_count,has_li,has_qi,li_qi_category,byline,headings
Z004875,卷十二#p070#s3,12,卷十二,70,3,卷十二#p070,"收拾得自家精神在此,方看得道理盡。",收拾得自家精神在此方看得道理盡,15,True,False,li_only,"{""raw"": ""(賀孫/)""}","[{""level"": 2, ""text"": ""學六""}, {""level"": 3, ""text"": ""持守""}]"
Z033551,卷六十四#p151#s4,64,卷六十四,151,4,卷六十四#p151,"然不先立得大者,不能盡得小者,此理愈説愈無窮,言不可盡。",然不先立得大者不能盡得小者此理愈説愈無窮言不可盡,24,True,False,li_only,"{""raw"": ""(從/周)""}","[{""level"": 2, ""text"": ""中庸三""}, {""level"": 3, ""text"": ""第二十章""}, {""level"": 3, ""text"": ""第二十一章""}, {""level"": 3, ""text"": ""第二十二章""}, {""level"": 3, ""text"": ""第二十三章""}, {""level"": 3, ""text"": ""第二十四章""}, {""level"": 3, ""text"": ""第二十五章""}, {""level"": 3, ""text"": ""第二十六章""}, {""level"": 3, ""text"": ""第二十七章""}, {""level"": 3, ""text"": ""第二十八章""}, {""level"": 3, ""text"": ""第二十九章""}, {""level"": 3, ""text"": ""第三十章""}, {""level"": 3, ""text"": ""第三十一章""}, {""level"": 3, ""text"": ""第三十二章""}, {""level"": 3, ""text"": ""第三十三章""}]"
Z008719,卷十七#p062#s1,17,卷十七,62,1,卷十七#p062,"問:""琢磨後,更有瑟僴赫喧,何故為終條理之事?""曰:""那不是做工夫處,是成就了氣象。",問琢磨後更有瑟僴赫喧何故為終條理之事曰那不是做工夫處是成就了氣象,32,True,True,both,"{""raw"": ""(㝢/)""}","[{""level"": 2, ""text"": ""大學四(或問上/)""}, {""level"": 3, ""text"": ""或問吾子以為大人之學一叚""}, {""level"": 3, ""text"": ""此篇所謂在明明徳一叚""}, {""level"": 3, ""text"": ""知止而後有定以下一叚""}, {""level"": 3, ""text"": ""古之欲明明徳扵天下一叚""}, {""level"": 3, ""text"": ""治國平天下者諸侯之事一叚""}, {""level"": 2, ""text"": ""傳一章""}, {""level"": 3, ""text"": ""然則其曰克明徳一叚""}, {""level"": 3, ""text"": ""顧諟天之明命一叚""}, {""level"": 3, ""text"": ""是三者固皆自明之事一叚""}, {""level"": 2, ""text"": ""傳二章""}, {""level"": 3, ""text"": ""或問盤之有銘一叚""}, {""level"": 2, ""text"": ""傳三章""}, {""level"": 3, ""text"": ""復引淇澳之詩一叚""}]"
Z055894,卷一百四#p028#s15,104,卷一百四,28,15,卷一百四#p028,"為學者不先存此心,雖説要去理㑹,東東西西,都自無安著處。",為學者不先存此心雖説要去理㑹東東西西都自無安著處,24,True,False,li_only,"{""raw"": ""(賀孫/)""}","[{""level"": 2, ""text"": ""朱子一""}, {""level"": 3, ""text"": ""自論為學工夫""}]"
Z033356,卷六十四#p097#s4,64,卷六十四,97,4,卷六十四#p097,"(天下之物,皆實理之所/為,徹頭徹尾,皆是此理)(所為未有無此/理而有此物也)無是理則雖有是物,若無是物矣。",天下之物皆實理之所為徹頭徹尾皆是此理所為未有無此理而有此物也無是理則雖有是物若無是物矣,43,True,False,li_only,"{""raw"": ""(銖/)""}","[{""level"": 2, ""text"": ""中庸三""}, {""level"": 3, ""text"": ""第二十章""}, {""level"": 3, ""text"": ""第二十一章""}, {""level"": 3, ""text"": ""第二十二章""}, {""level"": 3, ""text"": ""第二十三章""}, {""level"": 3, ""text"": ""第二十四章""}, {""level"": 3, ""text"": ""第二十五章""}, {""level"": 3, ""text"": ""第二十六章""}, {""level"": 3, ""text"": ""第二十七章""}, {""level"": 3, ""text"": ""第二十八章""}, {""level"": 3, ""text"": ""第二十九章""}, {""level"": 3, ""text"": ""第三十章""}, {""level"": 3, ""text"": ""第三十一章""}, {""level"": 3, ""text"": ""第三十二章""}, {""level"": 3, ""text"": ""第三十三章""}]"
Z010408,卷二十#p108#s2,20,卷二十,108,2,卷二十#p108,"仁便是愛之理,至於愛人愛物,皆是此理。",仁便是愛之理至於愛人愛物皆是此理,16,True,False,li_only,"{""raw"": ""(南升/)""}","[{""level"": 2, ""text"": ""論語二""}, {""level"": 3, ""text"": ""學而篇上""}, {""level"": 4, ""text"": ""子曰學而時習之章""}, {""level"": 4, ""text"": ""有子曰其為人也孝弟章""}, {""level"": 4, ""text"": ""巧言令色章""}]"
Z003742,卷九#p027#s3,9,卷九,27,3,卷九#p027,"""?""先生曰:""又不可一向去無形迹處尋更宜於日用事物,經書指意、史傳得失上做工夫,即精粗表裏,融㑹貫通,而無一理之不盡矣。",先生曰又不可一向去無形迹處尋更宜於日用事物經書指意史傳得失上做工夫即精粗表裏融㑹貫通而無一理之不盡矣,50,True,False,li_only,"{""raw"": ""(闕/)""}","[{""level"": 2, ""text"": ""學三""}, {""level"": 3, ""text"": ""論知行""}]"
Z052612,卷九十六#p049#s1,96,卷九十六,49,1,卷九十六#p049,"静中有物如何?""曰:""有聞見之理在,即是静中有物。",静中有物如何曰有聞見之理在即是静中有物,19,True,False,li_only,"{""raw"": ""(去/偽)""}","[{""level"": 2, ""text"": ""程子之書二""}]"
Z044478,卷八十#p073#s1,80,卷八十,73,1,卷八十#p073,"詩》如今恁地注解了,自是分曉易》理㑹。",詩如今恁地注解了自是分曉易理㑹,15,True,False,li_only,"{""raw"": ""(木/之)""}","[{""level"": 2, ""text"": ""詩一""}, {""level"": 3, ""text"": ""綱領""}, {""level"": 3, ""text"": ""論讀詩""}, {""level"": 3, ""text"": ""解詩""}]"
Z046223,卷八十四#p008#s14,84,卷八十四,8,14,卷八十四#p008,"自一介論之,更自逺在,且要就切實理㑹受用處。",自一介論之更自逺在且要就切實理㑹受用處,19,True,False,li_only,,"[{""level"": 2, ""text"": ""禮一""}, {""level"": 3, ""text"": ""論考禮綱領""}, {""level"": 3, ""text"": ""論後世禮書""}, {""level"": 3, ""text"": ""論修禮書""}]"
